Score Leaderboard (High → Low):
ID    Score    Method             Scaler     Covariance Adjacent Time(s)
172   0.6603   hybrid             power      diag       dim34    299.25
64    0.6588   specialized_gmm_v0 power      spherical  nan      169.36
175   0.6576   hybrid             power      spherical  dim23    295.28
59    0.6568   specialized_gmm_v0 quantile   diag       nan      255.50
95    0.6562   adjacent_focus     quantile   diag       dim12    658.75
72    0.6559   adjacent_focus     standard   diag       dim23    1313.59
97    0.6551   adjacent_focus     quantile   diag       dim34    494.42
92    0.6513   adjacent_focus     quantile   tied       dim12    34.50
111   0.6491   adjacent_focus     power      spherical  dim23    723.20
174   0.6478   hybrid             power      spherical  dim12    376.78
176   0.6367   hybrid             power      spherical  dim34    355.47
94    0.6348   adjacent_focus     quantile   tied       dim34    34.50
36    0.6335   specialized_gmm    standard   spherical  nan      73.14
24    0.6316   gmm                robust     spherical  nan      102.84
52    0.6312   specialized_gmm_v0 standard   spherical  nan      236.88
125   0.6297   hybrid             standard   spherical  nan      416.08
126   0.6265   hybrid             standard   spherical  dim12    401.19
152   0.6263   hybrid             quantile   tied       dim34    34.12
155   0.6227   hybrid             quantile   diag       dim23    334.78
70    0.6224   adjacent_focus     standard   tied       dim34    182.59
98    0.6206   adjacent_focus     quantile   spherical  dim12    434.30
127   0.6194   hybrid             standard   spherical  dim23    489.82
128   0.6173   hybrid             standard   spherical  dim34    526.41
28    0.6159   gmm                quantile   spherical  nan      25.59
160   0.6158   hybrid             quantile   spherical  dim34    197.58
158   0.6156   hybrid             quantile   spherical  dim12    248.51
88    0.6150   adjacent_focus     robust     spherical  dim34    1406.83
44    0.6148   specialized_gmm    quantile   spherical  nan      115.07
60    0.6146   specialized_gmm_v0 quantile   spherical  nan      138.59
58    0.6139   specialized_gmm_v0 quantile   tied       nan      317.93
157   0.6131   hybrid             quantile   spherical  nan      183.17
99    0.6127   adjacent_focus     quantile   spherical  dim23    262.61
3     0.6111   kmeans             quantile   nan        nan      3.76
141   0.6101   hybrid             robust     spherical  nan      677.17
142   0.6098   hybrid             robust     spherical  dim12    627.64
112   0.6097   adjacent_focus     power      spherical  dim34    683.10
110   0.6085   adjacent_focus     power      spherical  dim12    641.86
156   0.6074   hybrid             quantile   diag       dim34    334.37
159   0.6073   hybrid             quantile   spherical  dim23    154.93
100   0.6067   adjacent_focus     quantile   spherical  dim34    458.77
42    0.6064   specialized_gmm    quantile   tied       nan      16.92
153   0.6061   hybrid             quantile   diag       nan      323.26
154   0.6055   hybrid             quantile   diag       dim12    345.28
144   0.5997   hybrid             robust     spherical  dim34    717.55
