ID,Method,Scaler,Covariance,Adjacent_Focus,Time_Seconds
143,hybrid,robust,spherical,dim23,726.8
144,hybrid,robust,spherical,dim34,717.55
145,hybrid,quantile,full,None,1337.29
146,hybrid,quantile,full,dim12,1554.6
147,hybrid,quantile,full,dim23,1489.44
148,hybrid,quantile,full,dim34,1530.56
149,hybrid,quantile,tied,None,33.56
150,hybrid,quantile,tied,dim12,33.88
151,hybrid,quantile,tied,dim23,33.45
152,hybrid,quantile,tied,dim34,34.12
153,hybrid,quantile,diag,None,323.26
154,hybrid,quantile,diag,dim12,345.28
155,hybrid,quantile,diag,dim23,334.78
156,hybrid,quantile,diag,dim34,334.37
157,hybrid,quantile,spherical,None,183.17
158,hybrid,quantile,spherical,dim12,248.51
159,hybrid,quantile,spherical,dim23,154.93
160,hybrid,quantile,spherical,dim34,197.58
161,hybrid,power,full,None,1286.83
162,hybrid,power,full,dim12,1550.74
163,hybrid,power,full,dim23,1502.53
164,hybrid,power,full,dim34,1608.37
165,hybrid,power,tied,None,36.15
166,hybrid,power,tied,dim12,36.45
167,hybrid,power,tied,dim23,36.13
168,hybrid,power,tied,dim34,36.4
169,hybrid,power,diag,None,327.31
170,hybrid,power,diag,dim12,313.59
171,hybrid,power,diag,dim23,336.24
172,hybrid,power,diag,dim34,299.25
173,hybrid,power,spherical,None,320.27
174,hybrid,power,spherical,dim12,376.78
175,hybrid,power,spherical,dim23,295.28
176,hybrid,power,spherical,dim34,355.47
